Datetime,Message,RequestType,RequestParameters,Status
Fri Oct 08 21:32:50 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 10-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 21:32:59 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 21:32:59 EDT 2021,DVL 1 KKL 1 WST 1,GetAvailableTimeslots,Date: 01-01-2021,true
Wed Oct 13 13:08:11 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Wed Oct 13 13:08:12 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Wed Oct 13 13:08:12 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Wed Oct 13 13:08:12 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Wed Oct 13 13:08:12 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Wed Oct 13 13:08:29 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
Wed Oct 13 13:08:29 EDT 2021,DVL 1 KKL 1 WST 1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 22 21:29:05 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 22 21:29:06 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 22 21:29:06 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 22 21:29:06 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 22 21:29:06 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
